Polygon_Name,Concatenate,rsrp-pop ,Sum of rsrp-pop,RSRP-AVG,Review (Detail Reason)
677_Wtc2,677_Wtc2|441PC199E_CO|420885|19,4,19%,-80.75,NOT GO -> Have Pico
677_Wtc2,677_Wtc2|441PX077E_LTE_WISMA_METROPOLITAN_1|420509|5,4,13%,-94.75,NOT GO -> Have Pico
677_Wtc2,677_Wtc2|441PX078E-LTE-WISMA-METROPOLITAN-2|420516|4,7,10%,-81.42857143,NOT GO -> Have Pico
678_Wtc3-IBS,678_Wtc3-IBS|441PC199E_CO|420885|16,16,7%,-88.5625,NOT GO -> Have Pico
678_Wtc3-IBS,678_Wtc3-IBS|441PC199E_CO|420885|19,4,5%,-89,NOT GO -> Have Pico
678_Wtc3-IBS,678_Wtc3-IBS|441PL328E_CO|421041|14,36,37%,-86.83333333,NOT GO -> Have Pico
678_Wtc3-IBS,678_Wtc3-IBS|441PL328E_CO|421041|4,23,9%,-78.56521739,NOT GO -> Have Pico
678_Wtc3-IBS,678_Wtc3-IBS|4425022E_CO|420012|5,8,9%,-85.375,NOT GO -> Have Pico
678_Wtc3-IBS,678_Wtc3-IBS|4431769E-LTE-Setiabudi-Karbela|430038|6,18,6%,-87.55555556,NOT GO -> Have Pico
679_APARTKEMANGVILLAGESTP,679_APARTKEMANGVILLAGESTP|SH4431359E_CO|430776|4,48,56%,-83.97916667,NOT GO -> Have Pico
679_APARTKEMANGVILLAGESTP,679_APARTKEMANGVILLAGESTP|SH4431359E_CO|430776|7,33,23%,-84.90909091,NOT GO -> Have Pico
68_Pnjakpussto,68_Pnjakpussto|4412194E_CO|410989|9,2,17%,-84,NOT GO -> Have Pico
68_Pnjakpussto,68_Pnjakpussto|441PL305E_CO|410886|24,6,20%,-86,NOT GO -> Have Pico
